fingerprint,delay,variance,times
030B59F0D25752E6C2332E3F7B14746EE6B16D16,0.349944844,0.187957855,9
03216E9498B9688056F68E6F590FC206E9F40771,0.20058628,0.001933765,10
032E18F26B35047A20EB1F0E480D0DFD3D8AB6E2,0.3038897,0.009090801,2
032F74D5C7027752947E18D370D6ED51FDFCF632,0.290978864,0.004264328,25
034ED155E6DA8277BC7F294896BFD7013D7BD7B0,0.097782267,0.000112801,3
035F813195F0CB9F567EDFDF60C6745CA36BA0BD,0.243061229,0.01682924,7
036EFD2E61DEA3D2FEE59861BA4245E4DE864112,0.248421771,0.0024055,7
0376A6EE8D03191C7D690E560F32AA46DCAD3BA7,0.17842806,0.004233758,10
037B6C60DAD4DF32FDA29BF458D5C8C816AA8F3E,0.3258152,0.003981686,9
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B,0.366092288,0.009709632,16
037FF23B7D09A6044AA30B0AEA134FFEBC9A231A,0.252997788,0.004518627,17
0389258B0459C061250A2FFA1F9C4EEAD87BF086,0.2904084,0.002899309,7
038B2A774C859796FC11D26DB7F16494708F7749,0.207163,0.00155982,15
039BBE51EA8B9D16A2E58D6D82C0C045403E10CF,0.261153094,0.005405891,17
03B3FFB697B126A3C273ACC344B9DDEB90C05B02,0.28110173,0.006690861,40
03B9585A46122C21774B3096664A8A2140BF5635,0.302975459,0.005937731,34
03BD56B5072FB07D2B4D79E2FB04366D415EF3EC,0.408831491,0.030713943,11
03CB58CC506894147FFABAF43F6A84C52BDFCECA,0.5375076,0.005527063,4
03CCD8C021B75030122B48E5665A86E199EC989C,0.295476945,0.002761073,22
03D1EF3EF2BE5145150C58ACC72519DD860E61BA,0.265050341,0.011427358,61
03FA904CA72B510D9DA968B88D139A1C049F9E77,0.275331667,0.00246901,9
03FBDE6C4D7AB85281BA7216CA01F5B8D6DB4057,0.3511142,0.00424364,3
0403BD88235C49F4C0672F213912FCB3A2B93DCC,0.437725763,0.080916886,27
04045B9662E1629B3681B1F8F96E96F1A6373B80,0.274394737,0.017114513,19
0406DF11FC1C04CAF8B771CA2B9BA7C473E9DE4E,0.235446653,0.007391488,45
0410E68E65BE1DD16C5B10802C9A623DCFCFE95F,0.339896286,0.010876541,7
042944E139508E6A8495AA1F6F320D1087D84930,0.21844785,0.002237397,20
0432BEE829FCB155CE92CF418B7280F9849E12D0,0.290691435,0.018694299,75
0439AB73BB2B8730FCB15B18252928FC0C2EDF91,0.297743141,0.002028755,17
044428D910C037932A0763BB089769943F6BA648,0.2418944,0.005633298,8
045BBCA9602A22C112984F25003CD4897CFFB9E5,0.295908133,0.003914278,18
046A2841A526E3D5690ED33D568E9891C39503D8,0.4700496,0.004547139,1
046F2D59A85FAE693676A87533717C57436261C2,0.408229648,0.031499737,25
04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB,0.209642048,0.005606671,21
0485027A0A349D454D978F6C1CECDD29EA17769A,0.44013678,0.006637217,10
048B9A44712BDC2B896691E37B2B62C4A81D4DE5,0.306334829,0.005435791,7
048FEDBCDAA2F5AD70CC90275EB4434676B408C5,0.282188538,0.004230119,13
049091E0582A6439D7AC7E157D32AB9319B8B78C,0.316906462,0.014686279,58
0499CE73E4A26B3C94A519EBEAA06ACF9D325BC5,0.428351733,0.007039806,3
04A6C6FC871D0EFE0041125DFFF3CC324AB08ECD,0.0670002,7.19E-05,1
04D50494BD2E4B3913489062303442BC9D5CC0C7,0.4434217,0.008906281,16
04DAB3B5205C0EE19A702EBAFBBBC7AD21C24805,0.3029375,0.004952592,2
04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754,0.334202627,0.023201809,15
04E666AF3A39A54BE9138BEE97AE2DB21EA9D4E6,0.095536,0.000172293,1
04F45043A275C1E5BEB9773669A5E7CCE27E7F6F,0.323256067,0.006716796,9
04F93654100048D48FB8D21EB8434350E94B72A4,0.329506644,0.011798646,9
0501011B32C77C3FFE68DC4B3E40FC5D27F9501B,0.294641932,0.040559446,41
0501EBC2AF873CA4A7DDE942DC254ADD0EF259D6,0.224333,0.001650777,2
0505E6725CE05294E87371A024870189369A3222,0.34540927,0.081589397,20
050A1245EEC76B7438337BAAF19F4AB0666B375F,0.379010831,0.023067147,13
0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED,0.129176067,0.000381362,3
054AF5AE5DA4AA0B81D7155542AF204252CB6D61,0.355966305,0.041729819,19
056A5A961BBAECC9264FDF35D691668F46C04187,0.337775533,0.003080616,3
057AE8523B16EA85839D45626CD46942A3CF2CD4,0.336081956,0.003985541,9
05823C20CA5901E7AE493A210260A17D54924D36,0.25682099,0.003439674,21
0582582DFE6C4CF987A618B1AB4AC639AED90D6E,0.0836988,4.40E-06,1
